EPOCHS ,RGB    ,Gray   ,RGB-T0 ,Gray-T0,RGB-T1 ,Gray-T1,RGB-T2 ,Gray-T2,
      1,0.13628,0.11610,0.13991,0.11270,0.17302,0.17800,0.19025,0.17619,
      2,0.27075,0.24898,0.27075,0.25193,0.29592,0.29433,0.30045,0.29592,
      3,0.35714,0.34921,0.36054,0.34626,0.38322,0.37914,0.37755,0.36961,
      4,0.42041,0.43832,0.42063,0.43175,0.43265,0.43424,0.45193,0.43265,
      5,0.47234,0.49841,0.47234,0.49683,0.50454,0.50317,0.50726,0.50612,
      6,0.53515,0.56349,0.53469,0.55057,0.56417,0.55079,0.54875,0.55057,
      7,0.56485,0.59819,0.57166,0.58186,0.58027,0.58209,0.57483,0.58050,
      8,0.59841,0.64195,0.60227,0.63129,0.62404,0.62472,0.61293,0.61587,
      9,0.63220,0.64807,0.63401,0.63719,0.65420,0.65034,0.64875,0.64694,
     10,0.65261,0.69116,0.65624,0.67324,0.67324,0.68639,0.66825,0.67166,
     11,0.68957,0.69683,0.68844,0.69909,0.70612,0.70635,0.69229,0.69206,
     12,0.69841,0.71814,0.70340,0.70567,0.72041,0.71769,0.71111,0.69977,
     13,0.71769,0.72313,0.72562,0.71293,0.73243,0.72971,0.74195,0.72472,
     14,0.71950,0.73197,0.71701,0.72948,0.74263,0.73991,0.73764,0.73197,
     15,0.74830,0.75261,0.73583,0.75420,0.75918,0.75510,0.74467,0.75442,
     16,0.76576,0.76508,0.75397,0.75896,0.76077,0.76395,0.77052,0.76281,
     17,0.77052,0.77347,0.76327,0.76032,0.77755,0.77664,0.77687,0.76984,
     18,0.78095,0.78095,0.76463,0.76712,0.78458,0.78798,0.78798,0.78617,
     19,0.78662,0.78458,0.78186,0.78912,0.78730,0.80113,0.79184,0.79070,
     20,0.79660,0.78980,0.78912,0.78753,0.80635,0.80816,0.79161,0.80295,
     21,0.79524,0.79932,0.78776,0.79433,0.81111,0.81111,0.79819,0.81247,
     22,0.80272,0.79819,0.80408,0.79955,0.81066,0.81293,0.82585,0.81519,
     23,0.80816,0.80975,0.80340,0.80794,0.81224,0.82766,0.82109,0.83560,
     24,0.81406,0.82177,0.81043,0.82177,0.82562,0.83379,0.82562,0.82245,
     25,0.81066,0.81519,0.81837,0.80839,0.81769,0.84558,0.82880,0.83651,
     26,0.82812,0.82925,0.82834,0.81179,0.82857,0.84399,0.83628,0.84694,
     27,0.83311,0.83039,0.82562,0.83061,0.83583,0.84626,0.83061,0.85057,
     28,0.82948,0.82834,0.83583,0.82630,0.83311,0.84467,0.83878,0.84240,
     29,0.83900,0.84331,0.83107,0.83900,0.84104,0.85351,0.84263,0.85283,
     30,0.83810,0.85057,0.84580,0.83424,0.83696,0.86077,0.85170,0.86100,
     31,0.84422,0.85283,0.85057,0.84739,0.84467,0.85306,0.85147,0.86349,
     32,0.84626,0.85850,0.85215,0.85351,0.85170,0.86100,0.86054,0.86735,
     33,0.85193,0.86054,0.85125,0.84671,0.85102,0.86417,0.85692,0.86712,
     34,0.85760,0.86599,0.86122,0.85397,0.86054,0.87075,0.85714,0.87234,
     35,0.85714,0.85828,0.85397,0.84785,0.86304,0.87778,0.86576,0.87392,
     36,0.85283,0.84717,0.85782,0.84853,0.85692,0.87052,0.85873,0.86803,
     37,0.85261,0.87098,0.86485,0.86145,0.85760,0.87664,0.86349,0.87732,
     38,0.87528,0.86327,0.87959,0.86304,0.86395,0.88118,0.86304,0.88844,
     39,0.86576,0.87143,0.86122,0.86236,0.86395,0.88005,0.87800,0.88549,
